index,date,startup,vertical,subvertical,city,investors,round,amount
1271,2016-08-31,inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,0.0
1272,2016-01-07,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Series D,0.0
1273,2016-01-07,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,"5,00,000"
1274,2016-01-07,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Series D,0.0
1275,2016-02-07,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Series D,"7,00,000"
1276,2016-04-07,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,0.0
1277,2016-04-07,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Series D,"1,50,00,000"
1278,2016-04-07,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,"2,00,000"
1279,2016-04-07,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Series D,"20,00,000"
1280,2016-04-07,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,0.0
1281,2016-04-07,NeoGrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Series D,"1,60,00,000"
1282,2016-05-07,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Series D,"10,00,000"
1283,2016-05-07,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Series D,"8,20,00,000"
1284,2016-06-07,HappilyUnmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Series D,"7,40,000"
1285,2016-06-07,Don\\xe2\\x80\\x99t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,"2,50,000"
1286,2016-06-07,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,"2,97,000"
1287,2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Series D,"20,00,000"
1288,2016-07-07,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Series D,"10,00,000"
1289,2016-07-07,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Series D,0.0
1290,2016-07-07,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,0.0
1291,2016-11-07,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Series D,"35,00,000"
1292,2016-11-07,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Series D,"30,00,000"
1293,2016-12-07,SirionLabs,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Series D,"1,22,50,000"
1294,2016-12-07,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bangalore,"Mumbai Angels,\\xc2\\xa0 Times Internet",Series D,0.0
1295,2016-12-07,HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,0.0
1296,2016-12-07,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,0.0
1297,2016-07-13,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Series D,"50,00,000"
1298,2016-07-13,Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,0.0
1299,2016-07-13,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,"6,00,000"
1300,2016-07-13,Urban Tailor,Consumer Internet,E-Tailoring service provider,Bangalore,Unitus Seed Fund,Series D,0.0
1301,2016-07-13,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Series D,"50,00,000"
1302,2016-07-13,CityFurnish,Consumer Internet,Online Furniture Renting Platform,Gurgaon,Brand Capital,Seed Funding,0.0
1303,2016-07-13,HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,0.0
1304,2016-07-14,Augrav,eCommerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,"4,50,000"
1305,2016-07-14,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Series D,"10,70,000"
1306,2016-07-14,TransTutors / AskIITians,Consumer Internet,Online Education & Tutoring portals,New Delhi,500 Startups,Series D,0.0
1307,2016-07-15,WorkApps,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,"10,00,000"
1308,2016-07-15,BankerBay,Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investors,Series D,"20,00,000"
1309,2016-07-15,BaggOut,eCommerce,Women\\xe2\\x80\\x99s Fashion etailer,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,0.0
1310,2016-07-15,SatvaCart,eCommerce,Online Grocers,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,0.0
1311,2016-07-15,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Series D,"60,00,000"
1312,2016-07-18,Yellowdig,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,"6,50,000"
1313,2016-07-18,Zuppler,Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding,"6,50,000"
1314,2016-07-18,BlueStone,eCommerce,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Series D,"3,00,00,000"
1315,2016-07-18,underDOGS,Technology,Game Development Startup,Mumbai,Intelli Reboot Digital Pvt. Ltd,Series D,0.0
1316,2016-07-18,ImageProVision,Technology,Image Analysis Solutions,Pune,Satish Jamdar,Seed Funding,0.0
1317,2016-07-19,Sagacito,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Series D,"1,00,00,000"
1318,2016-07-19,Deal4Loans / Wishfin,Consumer Internet,\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Noida,Franklin Templeton International Services Pvt. Ltd,Series D,"1,50,00,000"
1319,2016-07-19,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partners,Series D,"10,00,000"
1320,2016-07-19,AppLop,Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding,"2,50,000"
1321,2016-07-20,Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Series D,"10,00,000"
1322,2016-07-20,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,"5,95,000"
1323,2016-07-20,iServe Financial,Consumer Internet,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Funding,0.0
1324,2016-07-21,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Series D,"10,00,000"
1325,2016-07-21,AbeRuk,eCommerce,Online Marketplace for books,Bangalore,Swastika Company Pvt Ltd,Seed Funding,0.0
1326,2016-07-21,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Indian Angel Network,Seed Funding,"5,95,000"
1327,2016-01-06,Chikoop,Consumer Internet,Free Ad based Voice Calling,Indore,Undisclosed Investors,Seed Funding,0.0
1328,2016-01-06,BRIDGEi2I,Technology,Data Analytics Platform,Bangalore,Edelweiss Private,Series D,0.0
1329,2016-02-06,Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Series D,"10,00,000"
1330,2016-02-06,Coutloot,eCommerce,Fashion Re-Commerce Platform,Mumbai,Venture Catalysts,Seed Funding,0.0
1331,2016-02-06,Limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Series D,"10,00,000"
1332,2016-03-06,iCliniq,Consumer Internet,Doctor Consultation platform,Bangalore,MadhanKumar Madathupalayam,Seed Funding,0.0
1333,2016-03-06,GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding,"75,000"
1334,2016-03-06,Vyome Biosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Series D,"20,00,000"
1335,2016-06-06,SillyMonks,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,"4,48,000"
1336,2016-07-06,Intgrea,Technology,Post merger Integration Partners,Bangalore,Undisclosed Investor,Seed Funding,"1,00,000"
1337,2016-07-06,HelpShift,Technology,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Series D,"2,30,00,000"
1338,2016-07-06,CreditVidya,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Series D,"10,00,000"
1339,2016-08-06,Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,"10,00,000"
1340,2016-08-06,ListUp,eCommerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,"5,00,000"
1341,2016-08-06,6Degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding,"2,00,000"
1342,2016-08-06,Shopwati,Consumer Internet,Online Fashion Discussion Community,Gurgaon,Sanjiv Rai,Seed Funding,0.0
1343,2016-08-06,Cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,0.0
1344,2016-08-06,StoreKing,eCommerce,Connecting Small Town Consumers to E-Commerce,Bangalore,Axiata Digital,Series D,"1,60,00,000"
1345,2016-08-06,Wired Hub,Real Estate,Co-Working Spaces,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,0.0
1346,2016-08-06,MySeniorDoctor,Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed Funding,"2,00,000"
1347,2016-09-06,Teabox,eCommerce,Online Tea Store,Siliguri,Cameron Jones,Seed Funding,0.0
1348,2016-09-06,ExtraaEdge,Consumer Internet,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,0.0
1349,2016-09-06,EPayLater,Technology,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed Funding,"20,00,000"
1350,2016-10-06,Kyazoonga,eCommerce,Online event ticketing Platform,Mumbai,Ratan Tata,Seed Funding,0.0
1351,2016-10-06,Paytunes,Consumer Internet,Mobile based rewards platform,New Delhi,"CIO Angel Network, Indian Angel Network",Series D,"5,00,000"
1352,2016-10-06,Kickstart Jobs,Technology,Entry level hiring platform,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Funding,0.0
1353,2016-10-06,Freshee,FMCG,Household packaging & Storage product manufacturer,Mumbai,Edelweiss Private,Series D,0.0
1354,2016-10-06,MadRat Games,Technology,Wearable Gaming Platform,Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Funding,0.0
1355,2016-11-06,Jazzmyride,eCommerce,Auto Parts & Accessories eTailer,New Delhi,TVS Automobile Solutions Ltd,Series D,0.0
1356,2016-11-06,AutoSense,Technology,Data Analytics based Customer Management Services,New Delhi,TVS Automobile Solutions Ltd,Series D,0.0
1357,2016-11-06,Redsun Telematics,Consumer Internet,Internet of Things Platform,Chennai,TVS Automobile Solutions Ltd,Series D,0.0
1358,2016-06-13,KhanaGadi,Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,50K Ventures,Seed Funding,0.0
1359,2016-06-13,Bombay Shirt Company,eCommerce,Online custom Shirt retailer,Mumbai,undisclosed investor,Series D,"10,00,000"
1360,2016-06-14,EdTechReview,Consumer Internet,Education based online portal,New Delhi,EVC Ventures,Seed Funding,0.0
1361,2016-06-14,Bonhomia,Food & Beverage,Premium Tea & Coffee Capsules maker,New Delhi,Valpro Capital and existing investors,Series D,0.0
1362,2016-06-14,Gobolt,Logistics,B2B Logistics provider,New Delhi,MCube8,Seed Funding,0.0
1363,2016-06-14,Jivox,Technology,Data Driven Advertising platform,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Series D,"60,00,000"
1364,2016-06-14,Sminq,Consumer Internet,Queue management Mobile app,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,"10,00,000"
1365,2016-06-14,CureJoy,Consumer Internet,Online Alternative health community platform,Bangalore,Accel Partners India,Series D,"44,00,000"
1366,2016-06-15,Oneway.cab,Consumer Internet,Taxi Rental Platform,Vadodara,Indian Angel Network,Seed Funding,"4,50,000"
1367,2016-06-15,GrabOnRent,eCommerce,On-demand product rental marketplace,Bangalore,IvyCap Ventures and Unicorn India Ventures,Series D,0.0
1368,2016-06-16,Unnati Helpers,Consumer Internet,Help Hiring Platform,Gurgaon,Info Edge (India) Ltd,Series D,"6,00,000"
1369,2016-06-16,Athletto,Consumer Internet,Sports Venue discovery and booking platform,Bangalore,Atul Ingle,Seed Funding,0.0
1370,2016-06-16,Saavn,Consumer Internet,Web/Mobile Music Streaming service,USA,Guy Oseary,Series D,0.0
1371,2016-06-16,ThinkPhi,Technology,Sustainable Green Tech Solution developer,Mumbai,Nimmagadda Prasad,Seed Funding,0.0
1372,2016-06-17,Cleartax,Consumer Internet,Online Tax Filing Platform,New Delhi,"Ravi Adusumalli, SAIF Partners",Series D,"1,20,00,000"
1373,2016-06-17,Silvan Innovation Labs,Technology,Home Automation Solutions,Bangalore,Infuse Ventures,Series D,"9,00,000"
1374,2016-06-17,GreytHR,Technology,Payroll & HR Software Developer,Bangalore,"New Enterprise Associates (NEA), Blume Ventures",Series D,"52,00,000"
1375,2016-06-17,Duffl,eCommerce,Fashion Rental Marketplace,Bangalore,BetOnIndia Technology Pvt Ltd,Seed Funding,0.0
1376,2016-06-17,BYG,Consumer Internet,Fitness centre Discovery & Booking Mobile app,Bangalore,"Sanjay Verma, Amit Khanna (LetsVenture)",Seed Funding,0.0
1377,2016-06-20,Dipper,eCommerce,Freight Logistics Marketplace,New Delhi,Undisclosed investor,Seed Funding,0.0
1378,2016-06-20,Qonfuse,Consumer Internet,Online Test Papers for competitive exams,New Delhi,Hamraj Kumar,Seed Funding,0.0
1379,2016-06-20,The Indian IRIS,Consumer Internet,Govt Policy Research & Information portal,Ahmedabad,Timbru Ventures,Seed Funding,0.0
1380,2016-06-21,Onspoon,Consumer Internet,Online Platform for Event Sponsorship,Mumbai,Swan Angel Network,Seed Funding,"1,50,000"
1381,2016-06-21,REstate,Consumer Internet,Real Estate Platform,Bangalore,Idein Ventures,Seed Funding,0.0
1382,2016-06-21,Cleartrip,Consumer Internet,Online Travel Agency,Mumbai,"Concur Technologies, Gund Investment",Series D,0.0
1383,2016-06-21,ProcMart,Consumer Internet,Online Procurement Marketplace,Noida,IndiaMart,Series D,0.0
1384,2016-06-21,Celerix,Technology,Fintech Product Development & Services Startup,Bangalore,Bitkemy Ventures,Seed Funding,"4,00,000"
1385,2016-06-21,NatureNama,Consumer Internet,Online Outdoors & travel,Mumbai,Unicorn Venture,Seed Funding,"2,25,000"
1386,2016-06-21,CyclopsMedtech,Technology,Medical Technology Provider,Bangalore,CP Bothra,Seed Funding,0.0
1387,2016-06-21,Syona Cosmetics,FMCG,Beauty Products & Training to Salons & Spas,Chennai,The Chennai Angels,Seed Funding,"1,50,000"
1388,2016-06-21,PrettySecrets,eCommerce,Women Lingerie Store,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Series D,"60,00,000"
1389,2016-06-22,SpiderG,Consumer Internet,Online invoice app for SMEs,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,"1,50,000"
1390,2016-06-23,FarEye,Technology,Logistics Management Software,New Delhi,Saif Partners,Series D,"35,00,000"
1391,2016-06-23,The Uolo,Consumer Internet,School Parent Communication App,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,"2,10,000"
1392,2016-06-23,Staqu,Technology,Artificial Intelligence based search platform,Gurgaon,Indian Angel Network,Seed Funding,0.0
1393,2016-06-23,Padhopadhao,Consumer Internet,Home Tutors search & Discovery,New Delhi,Rise India,Series D,0.0
1394,2016-06-24,Drivify,Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,"50,000"
1395,2016-06-24,PratiLipi,Consumer Internet,Multi-Lingual self-publishing platform,Bangalore,Nexus Venture Partners,Seed Funding,0.0
1396,2016-06-24,ParaBlu,Technology,Cloud Data Security & Privacy Solutions,Bangalore,Kalaari Capital,Seed Funding,"5,00,000"
1397,2016-06-24,Schedulers Logistics,Logistics,Cold Storage Logistics solutions,Mumbai,GVFL,Series D,"60,00,000"
1398,2016-06-24,LEAP India,Others,Supply Chain Equipment & Services provider,Mumbai,Mayfield Ventures,Series D,"30,00,000"
1399,2016-06-24,KabadiExpress,Others,Free Door Step Scrap Pickup Service,New Delhi,Undisclosed investor,Seed Funding,"1,48,000"
1400,2016-06-27,YourDost,Consumer Internet,Online counselling & Personal coaching platform,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,"12,00,000"
1401,2016-06-27,Gomalon,Consumer Internet,Online Spa & Salon discovery & Booking platform,Bangalore,Undisclosed investor,Seed Funding,"1,00,000"
1402,2016-06-27,Voler Cars,Consumer Internet,Self-Driven Car rental platform,New Delhi,"Kanodia family, Amit Banka",Seed Funding,0.0
1403,2016-06-28,FabHotels,Consumer Internet,Online Hotel aggregator & Booking platform,Gurgaon,"Accel Partners, RB Investments",Series D,"48,89,975.54"
1404,2016-06-28,Locanix,Technology,GPS based SaaS Solutions,Ahmedabad,Undisclosed investors,Seed Funding,"3,00,000"
1405,2016-06-28,Hello Tax,Consumer Internet,Online Tax Filing Platform,New Delhi,Sanjeev Sinha,Seed Funding,"2,95,000"
1406,2016-06-28,MySuperBrain,Consumer Internet,Online Talent Discovery Platform for Kids,Hyderabad,Soniks Consulting,Seed Funding,0.0
1407,2016-06-28,BlogBeats,Consumer Internet,Online Blogging Platform,Bangalore,Undisclosed Investor,Seed Funding,0.0
1408,2016-06-29,LetReach,eCommerce,ECommerce SAAS Solutions,New Delhi,vCommission,Series D,"1,00,000"
1409,2016-06-29,TrendieApp,Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding,"50,000"
1410,2016-06-29,ImpactGuru,Consumer Internet,Crowdfunding Platform,Mumbai,Piyush Jain,Seed Funding,0.0
1411,2016-06-29,Velvetcase,eCommerce,Online designer jewellery marketplace,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Series D,"15,00,000"
1412,2016-06-30,Meru Cabs,Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,Brand Capital,Series D,"2,50,00,000"
1413,2016-06-30,Campus Diaries,Consumer Internet,Student focussed Content Discovery portal,Bangalore,Aarin Capital,Seed Funding,"2,20,000"
1414,2016-06-30,Scripbox,Consumer Internet,Online Mutual Fund Investment platform,Bangalore,"Omidyar Network, Accel Partners & existing investors",Series D,0.0
1415,2016-06-30,Biryani Blues,Food & Beverage,QSR Chain,Gurgaon,Carpediem Capital & Others,Series D,"3,68,000"
1416,2016-01-05,MotoMojo,Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",Seed Funding,0.0
1417,2016-01-05,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,"1,45,000"
1418,2016-02-05,Airwood,Technology,Agri Data & Analytics Platform,Chennai,StartupXseed Ventures,Seed Funding,0.0
1419,2016-03-05,iDreamCareer,Consumer Internet,Career Planning Services Portal,New Delhi,Brand Capital,Series D,0.0
1420,2016-03-05,Zwayam,Consumer Internet,Online Recruitment Platform,Bangalore,Undisclosed investors,Seed Funding,"2,50,000"
1421,2016-03-05,BoiBanit,Consumer Internet,Online Food Delivery platform,Vadodara,Undisclosed investors,Seed Funding,0.0
1422,2016-03-05,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,"1,80,000"
1423,2016-03-05,Prepathon,Education,Competitive Exam learning platform,Mumbai,Blume Ventures,Series D,0.0
1424,2016-04-05,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,"2,00,000"
1425,2016-04-05,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Series D,"1,20,00,000"
1426,2016-04-05,SolarTown,Technology,Solar Rooftop system installation company,Chennai,Grex.in,Seed Funding,"2,00,000"
1427,2016-04-05,Comarete,Technology,Telecom & Media IT services company,Pune,Grex.in,Seed Funding,"2,00,000"
1428,2016-04-05,MyDentistChoice,eCommerce,Medical Supplies eTailer,Hyderabad,Undisclosed investors,Seed Funding,"1,50,000"
1429,2016-04-05,Indee,Consumer Internet,Web Video Streaming Platform,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,"5,00,000"
1430,2016-05-05,WebAlligator,Consumer Internet,Cloud Based Software Solutions,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,"3,75,000"
1431,2016-06-05,EduAce Services,Education,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Series D,"10,00,000"
1432,2016-07-05,Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed Funding,"75,000"
1433,2016-09-05,Locus,Technology,Logistics Intelligence platform,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Series D,"27,50,000"
1434,2016-09-05,Toko Innovations,Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,"4,50,000"
1435,2016-09-05,Rentickle,eCommerce,"Furniture, appliances Portal",New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,"2,50,000"
1436,2016-10-05,InnoNano Research,Technology,Clean Water Technology,Chennai,NanoHoldings,Series D,"1,80,00,000"
1437,2016-10-05,SchoolWear,eCommerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed investors,Seed Funding,"15,00,000"
1438,2016-11-05,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bangalore,Undisclosed Investors,Series D,"9,00,000"
1439,2016-11-05,Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Series D,0.0
1440,2016-11-05,Fractal Analytics,Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Series D,"10,00,00,000"
1441,2016-12-05,Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Series D,"1,50,000"
1442,2016-12-05,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed Funding,0.0
1443,2016-12-05,ShabdNagari,Consumer Internet,Hindi social networking portal,Kanpur,ah! Ventures,Seed Funding,0.0
1444,2016-12-05,Galleri5,Consumer Internet,Visual Content Discovery platform,Bangalore,"Phanindra Sama, Raghunandan G,",Seed Funding,0.0
1445,2016-12-05,Derbii,Logistics,Carpooling Services,Gurgaon,Anurag Chauhan,Seed Funding,0.0
1446,2016-05-13,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"Matrix Partners, Nexus Ventures",Series D,"1,35,00,000"
1447,2016-05-13,WoW Express,Logistics,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Series D,"22,00,000"
1448,2016-05-16,BedBathMore,Consumer Internet,Home Decor eMarketplace,Mumbai,"Kinnevik Group, Rocket Internet",Series D,0.0
1449,2016-05-17,Murgency,Consumer Internet,Medical Emergency Response App,Mumbai,Rata Tata,Series D,0.0
1450,2016-05-17,Crownit,Consumer Internet,Mobile customer rewards management platform,Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners",Series D,0.0
1451,2016-05-17,Blinge,eCommerce,Apparel Rental platform,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori",Seed Funding,0.0
1452,2016-05-18,TheSmartQ,Consumer Internet,Food Ordering Mobile App,Bangalore,YourNest Angel Fund,Seed Funding,"2,50,000"
1453,2016-05-18,PurpleHealth,Consumer Internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,"1,00,000"
1454,2016-05-18,Fundamentor,Education,Aptitude Development Program,Pune,Subramanya SV,Seed Funding,0.0
1455,2016-05-18,EduPristine,Education,Online Certification Courses,Mumbai,"Kaizen Management Advisors, DeVry Inc",Series D,"1,00,00,000"
1456,2016-05-18,BhiveWorkspace,Reality,Co-Working Spaces,Bangalore,Blume Ventures,Series D,"10,00,000"
1457,2016-05-19,Appie,Consumer Internet,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed Funding,"10,00,000"
1458,2016-05-19,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,New Delhi,Undisclosed HNIs,Seed Funding,"5,00,000"
1459,2016-05-19,Veqta,Consumer Internet,On Demand Digital Sports Network,New Delhi,"Chatsworth Management, ITW Digital",Seed Funding,"5,00,000"
1460,2016-05-20,i2ifunding,Consumer Internet,Online Peer to Peer Funding,Noida,Undisclosed Investors,Seed Funding,"3,00,000"
1461,2016-05-23,EduRev,Consumer Internet,Online Learning Platform,Gurgaon,Pradeep Reddy Kamasan,Seed Funding,0.0
1462,2016-05-23,Hoppingo,Consumer Internet,Fashion Discovery platform,New Delhi,vCommission,Seed Funding,"89,000"
1463,2016-05-24,Eatonomist,Consumer Internet,Food Delivery Platform,Gurgaon,MCube Capital Advisors Pvt Ltd,Seed Funding,0.0
1464,2016-05-24,Goalwise,Consumer Internet,Online investment platform,Bangalore,Undisclosed HNIs,Seed Funding,"10,00,000"
1465,2016-05-25,Roast,Consumer Internet,Mobile entertainment App,New Delhi,Indian Angel Network,Seed Funding,0.0
1466,2016-05-25,Address Health,Healthcare,Pediatric Primary Healthcare Network,Bangalore,Gray Matters Capital,Series D,"15,00,000"
